epoch,train_loss,train_acc,test_loss,test_acc,lr
0,2.586803,0.5270,2.564721,0.5290,0.00049901
1,2.334539,0.5351,2.451943,0.5337,0.00049802
2,2.222208,0.5369,2.519506,0.5211,0.00049703
3,2.159634,0.5375,2.489980,0.5332,0.00049604
4,2.083712,0.5382,2.546063,0.5293,0.00049505
5,2.004264,0.5419,2.649658,0.5281,0.00049406
